Mi az államformája Spanyolországnak?|Királyság|Köztársaság|Népköztársaság|Császárság
Melyik ország fõvárosa Riga?|Lettország|Litvánia|Észtország|Finnország
Melyik kontinensen található Suriname?|Amerika|Afrika|Ázsia|Óceánia
Milyen állat található Kecskemét címerében?|Kecske|Medve|Pingvin|Birka
Mikor készült a Shrek címû film?|2001|1991|1995|2009
Hány lába van egy póknak?|8|6|7|4
Mi az nem szék, de asztal?|Asztal|Szék|Atilla|Kecske
Milyen szín nem található a magyar zászlóban?|Sárga|Zöld|Fehér|Piros
Milyen szín nem található a szlovák zászlóban?|Zöld|Kék|Fehér|Piros
Hogy van angolul a Tojás szó?|Egg|Eg|Ag|Ege
Mennyi a Kassai I. járás területe?|87 km2|21 km2|256 km2|167 km2
Mi az Elfen Lied?|Japán anime|Német népdal|Koreai zenekar|Kinai étteremhálozat
Mi Japán fõvárosa?|Tokió|Szõul|Peking|Sapporo
Milyen dinoszaurosz az Agilisaurus?|Nõvényevõ|Húsevõ|Mindenevõ|Semmit evõ
Melyik ország nyerte a 1968. évi téli olimpiai játékokon a Férfi 4 × 10 km-es sífutóváltót?|Norvégia|Svédország|Finnország|Magyarország
Melyik országban található Újlugoskisfalu?|Románia|Magyarország|Szlovákia|Szerbia
Milyen anyagból nem készülhet a vasmag?|Allumínium|Vas|Nikkel|Ferrit
Ki a Yes zenekar basszusgítárosa?|Chris Squire|Chris Bale|Chris White|Mándoki László
Mit jelent az Elektra nõi név?|borostyánkõ|gránit|zaphir|tehén
Melyik tartomány székhelye München?|Bajorország|Stájerország|Szászország|Svábország
Melyik fajta kutya volt Winston Churchill kedvence?|Bulldog|Corgie|Boxer|Mopsz
Kaphat egy kutya hõgutát?|Igen|Nem, mert nem érzi a hõt|Nem, csak ember|Nem, mert szigetel a szõre
A spániel...|Vadászkutya|Mentõkutya|Hobbiállat|õrzõ-védõ
A tacskó...|Vadászkutya|Mentõkutya|Hobbiállat|nyomkövetõ kutya
Melyik nem magyar kutyafajta?|Majompincs|Erdélyi kopó|Kuvasz|Sinka
Japánban az akita a(z)… jelképe|egészség és jólét|egészség|jólét|biztonság
Milyen kutyája van II. Erzsébet királynõnek?|Welsh corgie|Cocker spániel|Jack russel|Welsh terrier
Mi a neve a leghosszabb szánhúzó versenynek,amit a „szérumfutás” emlékére rendeznek meg a mai napig?|Iditarod|Balto futása|Nome-Nenana|Serum Run
Hol található Balto híres szobra?|Central Park|St. James Park|Hyde Park|Regent’s Park
Melyik város mentõkutyája volt Mancs?|Miskolc|Budapest|Szeged|Sopron
Milyen fajtájú volt Mancs?|Németjuhász|Border Collie|Golden retriever|Labrador
Melyik nem volt munkakutya?|Csivava|Westie|Jack Russel terrier|Dalmata
